date,produit,categorie,quantite,prix_unitaire,client_id
2024-01-15,Ordinateur Portable,Electronique,2,899.99,CL001
2024-01-20,Souris Sans Fil,Electronique,5,29.99,CL002
2024-01-22,Clavier Mécanique,Electronique,3,79.99,CL003
2024-02-10,Tablette,Electronique,1,499.99,CL001
2024-02-15,Chaise Bureau,Mobilier,2,199.99,CL004
2024-02-20,Bureau Ergonomique,Mobilier,1,349.99,CL005
2024-03-05,Écran 27 pouces,Electronique,3,299.99,CL002
2024-03-12,Livre Python,Education,10,39.99,CL006
2024-03-18,Casque Audio,Electronique,4,149.99,CL003
2024-04-02,Webcam HD,Electronique,6,89.99,CL007
2024-04-10,Formation Data Science,Education,2,499.99,CL001
2024-04-15,Étagère,Mobilier,5,79.99,CL008
2024-05-08,SSD 1TB,Electronique,8,129.99,CL002
2024-05-12,Livre Machine Learning,Education,7,49.99,CL009
2024-05-20,Lampe Bureau,Mobilier,12,39.99,CL010
2024-06-05,Smartphone,Electronique,1,699.99,CL001
2024-06-15,Formation Python,Education,3,299.99,CL011
2024-06-22,Fauteuil Bureau,Mobilier,2,449.99,CL005
2024-07-10,Disque Dur Externe,Electronique,4,99.99,CL012
2024-07-18,Livre Statistiques,Education,6,34.99,CL013
2024-08-05,Moniteur 4K,Electronique,2,599.99,CL002
2024-08-12,Formation SQL,Education,4,199.99,CL014
2024-08-20,Table Basse,Mobilier,3,149.99,CL015
2024-09-10,Clavier Rétroéclairé,Electronique,5,119.99,CL003
2024-09-15,Livre Deep Learning,Education,8,59.99,CL016
2024-09-25,Chaise Gaming,Mobilier,1,299.99,CL017
2024-10-05,Microphone USB,Electronique,3,79.99,CL018
2024-10-12,Formation Big Data,Education,2,599.99,CL001
2024-10-20,Meuble TV,Mobilier,2,249.99,CL019
2024-11-08,Tablette Graphique,Electronique,1,399.99,CL020
2024-11-15,Livre Data Visualization,Education,5,44.99,CL021
2024-11-22,Bureau Debout,Mobilier,1,499.99,CL005
2024-12-05,Enceinte Bluetooth,Electronique,7,89.99,CL022
2024-12-12,Formation Cloud Computing,Education,3,399.99,CL023
2024-12-20,Chaise Design,Mobilier,4,179.99,CL024

